Tarih Saat;Adisyon;Ürün;Kategori;Adet;Birim Fiyat;Tutar;Yemek Maliyeti;Kişi;Öğün;İptal
2026-01-01 14:00;ADS-1001;Mercimek Çorba;Başlangıç;1;42,00;42,00;20,00;3;Öğle;Hayır
2026-01-01 14:00;ADS-1001;Mevsim Salata;Başlangıç;2;67,00;134,00;66,00;;Öğle;Hayır
2026-01-01 14:00;ADS-1001;Köfte;Ana Yemek;2;126,00;252,00;234,00;;Öğle;Hayır
2026-01-01 13:00;ADS-1002;Izgara Balık;Ana Yemek;2;238,00;476,00;210,00;2;Öğle;Hayır
2026-01-01 13:00;ADS-1002;Kola;İçecek;1;22,00;22,00;11,00;;Öğle;Hayır
2026-01-01 13:00;ADS-1002;Köfte;Ana Yemek;1;126,00;126,00;117,00;;Öğle;Hayır
2026-01-01 19:00;ADS-1003;Baklava;Tatlı;2;95,00;190,00;60,00;4;Akşam;Hayır
2026-01-01 19:00;ADS-1003;Baklava;Tatlı;2;95,00;190,00;60,00;;Akşam;Hayır
2026-01-01 19:00;ADS-1003;Köfte;Ana Yemek;1;180,00;180,00;117,00;;Akşam;Hayır
2026-01-01 19:00;ADS-1004;Deniz Mahsulü Güveç;Ana Yemek;1;300,00;300,00;240,00;1;Akşam;Hayır
2026-01-01 19:00;ADS-1004;Kola;İçecek;2;32,00;64,00;22,00;;Akşam;Hayır
2026-01-01 19:00;ADS-1004;Izgara Balık;Ana Yemek;1;340,00;340,00;105,00;;Akşam;Hayır
2026-01-01 19:00;ADS-1004;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-01 13:00;ADS-1005;Sütlaç;Tatlı;2;53,00;106,00;52,00;2;Öğle;Hayır
2026-01-01 20:00;ADS-1006;Mevsim Salata;Başlangıç;2;95,00;190,00;66,00;4;Akşam;Hayır
2026-01-01 21:00;ADS-1007;Kola;İçecek;2;32,00;64,00;22,00;3;Akşam;Hayır
2026-01-01 21:00;ADS-1007;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1007;Ayran;İçecek;2;28,00;56,00;18,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1007;Kola;İçecek;2;32,00;64,00;22,00;;Akşam;Hayır
2026-01-01 20:00;ADS-1008;Izgara Balık;Ana Yemek;1;340,00;340,00;105,00;3;Akşam;Evet
2026-01-01 20:00;ADS-1008;Köfte;Ana Yemek;2;180,00;360,00;234,00;;Akşam;Hayır
2026-01-01 20:00;ADS-1008;Baklava;Tatlı;1;95,00;95,00;30,00;;Akşam;Hayır
2026-01-01 21:00;ADS-1009;Kola;İçecek;2;32,00;64,00;22,00;4;Akşam;Hayır
