Tarih;SKU;Ürün;Kategori;Adet;Birim Fiyat;Ciro;Maliyet;İskonto;İade;Kanal;Müşteri No
2026-01-01;AKS-004;Aksesuar 4;Aksesuar;1;208,00;193,81;93,60;14,19;Hayır;Web;MUS-0219
2026-01-01;EVT-002;Ev Tekstili 2;Ev Tekstili;3;697,00;2011,99;1045,50;79,01;Hayır;Web;MUS-0070
2026-01-01;AKS-004;Aksesuar 4;Aksesuar;1;191,00;180,51;85,95;10,49;Hayır;Pazaryeri;MUS-0018
2026-01-01;ELK-002;Elektronik 2;Elektronik;1;1766,00;1761,54;1412,80;4,46;Hayır;Pazaryeri;MUS-0186
2026-01-01;GIY-005;Giyim Ürünü 5;Giyim;2;595,00;1173,53;654,50;16,47;Hayır;Web;MUS-0158
2026-01-01;GIY-003;Giyim Ürünü 3;Giyim;2;285,00;567,66;313,50;2,34;Hayır;Mağaza;MUS-0074
2026-01-01;AYK-005;Ayakkabı 5;Ayakkabı;2;525,00;987,96;630,00;62,04;Hayır;Web;MUS-0103
2026-01-01;GIY-004;Giyim Ürünü 4;Giyim;3;660,00;1875,48;1089,00;104,52;Hayır;Web;MUS-0331
2026-01-01;AYK-001;Ayakkabı 1;Ayakkabı;1;317,00;293,10;190,20;23,90;Hayır;Mağaza;MUS-0169
2026-01-01;ELK-001;Elektronik 1;Elektronik;3;5661,00;15760,82;13586,40;1222,18;Hayır;Web;MUS-0248
2026-01-01;GIY-005;Giyim Ürünü 5;Giyim;1;698,00;668,95;383,90;29,05;Hayır;Mağaza;MUS-0321
2026-01-01;AYK-002;Ayakkabı 2;Ayakkabı;2;655,00;1249,38;786,00;60,62;Hayır;Pazaryeri;MUS-0104
2026-01-01;AKS-004;Aksesuar 4;Aksesuar;3;317,00;886,85;427,95;64,15;Hayır;Mağaza;MUS-0191
2026-01-01;AYK-004;Ayakkabı 4;Ayakkabı;1;1165,00;1155,60;699,00;9,40;Hayır;Pazaryeri;MUS-0033
2026-01-01;AKS-001;Aksesuar 1;Aksesuar;3;104,00;291,48;140,40;20,52;Hayır;Pazaryeri;MUS-0245
2026-01-01;GIY-001;Giyim Ürünü 1;Giyim;2;335,00;647,87;368,50;22,13;Hayır;Web;MUS-0221
2026-01-01;EVT-004;Ev Tekstili 4;Ev Tekstili;2;205,00;399,29;205,00;10,71;Hayır;Pazaryeri;MUS-0130
2026-01-01;GIY-004;Giyim Ürünü 4;Giyim;3;649,00;1832,14;1070,85;114,86;Hayır;Web;MUS-0212
2026-01-01;AKS-001;Aksesuar 1;Aksesuar;3;263,00;777,38;355,05;11,62;Hayır;Web;MUS-0097
