Ay;Müşteri;Plan;MRR;Kayıt Tarihi
2024-01;C-0001;Basic;500;2024-01-01
2024-01;C-0002;Basic;500;2024-01-01
2024-01;C-0003;Pro;1500;2024-01-01
2024-01;C-0004;Basic;500;2024-01-01
2024-01;C-0005;Basic;500;2024-01-01
2024-01;C-0006;Basic;500;2024-01-01
2024-01;C-0007;Basic;500;2024-01-01
2024-01;C-0008;Enterprise;5000;2024-01-01
2024-01;C-0009;Pro;1500;2024-01-01
2024-01;C-0010;Basic;500;2024-01-01
2024-01;C-0011;Pro;1500;2024-01-01
2024-01;C-0012;Basic;500;2024-01-01
2024-01;C-0013;Basic;500;2024-01-01
2024-01;C-0014;Enterprise;5000;2024-01-01
2024-01;C-0015;Pro;1500;2024-01-01
2024-01;C-0016;Basic;500;2024-01-01
2024-01;C-0017;Pro;1500;2024-01-01
2024-01;C-0018;Basic;500;2024-01-01
2024-01;C-0019;Basic;500;2024-01-01
2024-01;C-0020;Pro;1500;2024-01-01
2024-01;C-0021;Enterprise;5000;2024-01-01
2024-01;C-0022;Basic;500;2024-01-01
2024-01;C-0023;Pro;1500;2024-01-01
2024-01;C-0024;Basic;500;2024-01-01
2024-01;C-0025;Basic;500;2024-01-01
2024-01;C-0026;Pro;1500;2024-01-01
2024-01;C-0027;Basic;500;2024-01-01
2024-01;C-0028;Pro;1500;2024-01-01
2024-01;C-0029;Basic;500;2024-01-01
2024-01;C-0030;Basic;500;2024-01-01
2024-01;C-0031;Enterprise;5000;2024-01-01
2024-01;C-0032;Pro;1500;2024-01-01
2024-01;C-0033;Enterprise;5000;2024-01-01
2024-01;C-0034;Enterprise;5000;2024-01-01
2024-01;C-0035;Pro;1500;2024-01-01
2024-01;C-0036;Pro;1500;2024-01-01
2024-01;C-0037;Pro;1500;2024-01-01
2024-01;C-0038;Basic;500;2024-01-01
2024-01;C-0039;Basic;500;2024-01-01
2024-01;C-0040;Basic;500;2024-01-01
2024-01;C-0041;Enterprise;5000;2024-01-01
2024-01;C-0042;Enterprise;5000;2024-01-01
2024-01;C-0043;Pro;1500;2024-01-01
2024-01;C-0044;Pro;1500;2024-01-01
2024-01;C-0045;Basic;500;2024-01-01
2024-01;C-0046;Enterprise;5000;2024-01-01
2024-01;C-0047;Basic;500;2024-01-01
2024-01;C-0048;Basic;500;2024-01-01
2024-01;C-0049;Pro;1500;2024-01-01
2024-01;C-0050;Basic;500;2024-01-01
2024-01;C-0051;Pro;1500;2024-01-01
2024-01;C-0052;Enterprise;5000;2024-01-01
2024-01;C-0053;Pro;1500;2024-01-01
2024-01;C-0054;Basic;500;2024-01-01
2024-01;C-0055;Pro;1500;2024-01-01
2024-01;C-0056;Basic;500;2024-01-01
2024-01;C-0057;Pro;1500;2024-01-01
2024-01;C-0058;Basic;500;2024-01-01
2024-01;C-0059;Basic;500;2024-01-01
2024-01;C-0060;Basic;500;2024-01-01
2024-01;C-0061;Basic;500;2024-01-01
2024-01;C-0062;Basic;500;2024-01-01
2024-01;C-0063;Pro;1500;2024-01-01
2024-01;C-0064;Basic;500;2024-01-01
2024-01;C-0065;Pro;1500;2024-01-01
2024-01;C-0066;Enterprise;5000;2024-01-01
2024-01;C-0067;Pro;1500;2024-01-01
2024-01;C-0068;Basic;500;2024-01-01
2024-01;C-0069;Basic;500;2024-01-01
2024-01;C-0070;Pro;1500;2024-01-01
2024-01;C-0071;Pro;1500;2024-01-01
2024-01;C-0072;Basic;500;2024-01-01
2024-01;C-0073;Basic;500;2024-01-01
2024-01;C-0074;Pro;1500;2024-01-01
2024-01;C-0075;Pro;1500;2024-01-01
2024-01;C-0076;Pro;1500;2024-01-01
2024-01;C-0077;Pro;1500;2024-01-01
2024-01;C-0078;Basic;500;2024-01-01
2024-01;C-0079;Basic;500;2024-01-01
2024-01;C-0080;Pro;1500;2024-01-01
2024-01;C-0081;Pro;1500;2024-01-01
2024-01;C-0082;Basic;500;2024-01-01
2024-01;C-0083;Basic;500;2024-01-01
2024-01;C-0084;Basic;500;2024-01-01
2024-01;C-0085;Basic;500;2024-01-01
2024-01;C-0086;Pro;1500;2024-01-01
2024-01;C-0087;Enterprise;5000;2024-01-01
2024-01;C-0088;Basic;500;2024-01-01
2024-01;C-0089;Pro;1500;2024-01-01
2024-01;C-0090;Basic;500;2024-01-01
2024-01;C-0091;Basic;500;2024-01-01
2024-01;C-0092;Enterprise;5000;2024-01-01
2024-01;C-0093;Pro;1500;2024-01-01
2024-01;C-0094;Pro;1500;2024-01-01
2024-01;C-0095;Enterprise;5000;2024-01-01
2024-01;C-0096;Pro;1500;2024-01-01
2024-01;C-0097;Pro;1500;2024-01-01
2024-01;C-0098;Basic;500;2024-01-01
2024-01;C-0099;Basic;500;2024-01-01
2024-01;C-0100;Pro;1500;2024-01-01
2024-01;C-0101;Pro;1500;2024-01-01
2024-01;C-0102;Pro;1500;2024-01-01
2024-01;C-0103;Pro;1500;2024-01-01
2024-01;C-0104;Pro;1500;2024-01-01
2024-01;C-0105;Pro;1500;2024-01-01
